Age,Height,Weight,Gender,Income
50.42745117709282,180.5830079909851,77.31983216817538,Female,43865.92582733834
29.71422888611997,199.09443117637798,93.13624489272206,Male,63806.61094503784
14.171102141401562,169.42195632968279,72.84145575991965,Female,27451.246867820217
32.44159658823576,174.44777980553127,67.38241194481274,Female,61494.32886425127
37.52382271145213,170.5036692489505,81.40301885598473,Female,40798.89017529221
48.796353122185835,131.0146502283819,64.3328581727198,Female,66144.79348149734
37.99987869179155,153.14606902365713,69.21481970174997,Male,49956.01076814245
30.95196018319586,177.6432797576589,79.13366000829801,Male,69052.6150829196
53.15726951580997,170.03820049693908,70.41541135745523,Male,48288.85962395105
34.10134763057749,159.49677159997879,85.05509130145798,Male,66663.15437554865
8.332641346701312,171.64413350690558,70.74672065903539,Male,59570.90372457326
35.27408695354048,176.6272598895249,70.71719187471723,Male,44483.98125416001
31.785144962669712,163.93455673192886,80.52303391237493,Female,44545.97518926153
44.7365413530824,164.4720569060888,60.131618544100746,Female,68545.3789224632
51.542556419392064,188.65886960133415,72.311906146957,Female,51744.166304409046
25.602812128005755,131.60239699622795,60.92959268434728,Male,32124.169495667422
33.38699571670687,161.2620075113436,78.71902470791437,Male,40461.65691529151
32.9173389507585,188.51882135134466,63.05307036848935,Female,45649.615303013736
57.05909119948676,173.68207798377816,65.3560089006146,Male,50884.07029420702
27.548412528073648,154.2062342885757,81.83823692206862,Male,71801.29636730679
37.86596021757542,147.90944283846648,83.30236841250543,Male,80155.90461969281
39.31091733966797,184.3468183180689,51.202429703827434,Female,44411.47358334865
28.70108136627298,164.12017135093336,53.81859078258333,Male,50931.49031320467
13.32127106596376,172.63259140614352,60.7186821271338,Female,47547.15452024088
30.595677589348405,173.8174095201616,56.71716428018438,Male,52934.52651101724
30.67574176454901,163.12642638400948,78.30845230033836,Male,50973.98421484473
34.68542180632275,208.43585272140393,53.45239058838015,Female,56491.2735860498
35.24538705631242,156.16907176949496,69.8167650267852,Female,56647.16387777626
46.38387215205041,176.8711571443058,74.10972675176468,Male,58477.76815401556
26.12945551621101,163.7268154650446,58.37912800319597,Male,59388.98734530167
37.38614121150362,150.50577883807804,74.99435028015621,Male,57870.13068089688
12.06340424822065,188.43676283954605,76.66053536302746,Female,63957.65542013243
36.33557778169054,140.64582561074008,61.33939125903228,Male,44077.869762777285
36.281751423326746,151.390586628395,85.32259550406377,Female,28922.65717985437
56.373016351544464,170.9471152300296,64.76292884314377,Female,53527.55787179587
36.447353817879176,165.89060778209543,63.20426188851115,Female,41231.83688646861
23.974407704480882,169.41575231188628,77.20831817744629,Female,33740.39095798246
